CircleCode,Bottler,Castle,Color,Country,ExcludedVintage,Family,FamilyType,LateVintage,Mention,OriginSign,ProductComplement,ProductDesignation,ProductLabel,ProductLabelComplement,ProductOrigin,ProductRanking,Region,StartingVintage,SubRegion
2683A0,SC CHATEAU LE BOURDIEU VERTHEUIL,GANTONNET,ROSE,FRANCE,ND,ND,ND,ND,CHATEAU,ND,ND,ND,"CHATEAU GANTONNET, BORDEAUX, ROSE",ND,BORDEAUX,ND,ND,ND,ND
7306A0,EARL CHATEAU GOUDICHAUD,LA FLEUR DES GRAVES,ROUGE,FRANCE,ND,ND,ND,ND,CHATEAU,ND,ND,ND,"CHATEAU LA FLEUR DES GRAVES, GRAVES DE VAYRES, ROUGE",ND,GRAVES DE VAYRES,ND,ND,ND,ND
7619A0,EARL EYNARD-SUDRE,BLANCHEREAU,ROUGE,FRANCE,ND,ND,ND,ND,CHATEAU,ND,ND,ND,"CHATEAU BLANCHEREAU, COTES-DE-BOURG, ROUGE",ND,COTES-DE-BOURG,ND,ND,ND,ND
9713A0,JEROME COUECOU,PETIT GOUJON,ROUGE,FRANCE,ND,ND,ND,ND,CHATEAU,ND,ND,ND,"CHATEAU PETIT GOUJON, LALANDE-DE-POMEROL, ROUGE",ND,LALANDE-DE-POMEROL,ND,ND,ND,ND
2111A0,SAS DOMAINE CLARENCE DILLON,HAUT-BRION,ROUGE,FRANCE,ND,ND,ND,ND,CHATEAU,ND,ND,PREMIER GRAND CRU CLASSE / CRU CLASSE,"CHATEAU HAUT-BRION, PESSAC-LEOGNAN, ROUGE - PREMIER GRAND CRU CLASSE / CRU CLASSE",ND,PESSAC-LEOGNAN,1855 / DE GRAVES,ND,ND,ND
7099A0,EARL A ET F UIJTTEWAAL,SAINT-HILAIRE,ROUGE,FRANCE,ND,ND,ND,ND,CHATEAU,ND,ND,CRU BOURGEOIS,"CHATEAU SAINT-HILAIRE, MEDOC, ROUGE - CRU BOURGEOIS",ND,MEDOC,CRUS BOURGEOIS DU MEDOC 2020,ND,ND,ND
6457A0,SCEV GAUDRIE ET FILS,CHARME DE VILLARS,ROUGE,FRANCE,ND,ND,ND,ND,ND,ND,ND,ND,"CHARME DE VILLARS, FRONSAC, ROUGE",ND,FRONSAC,ND,ND,ND,ND
5370A0,SCEA CHATEAU LA ROSERAIE,LA ROSERAIE,ROUGE,FRANCE,ND,ND,ND,ND,CHATEAU,ND,ND,ND,"CHATEAU LA ROSERAIE, LALANDE-DE-POMEROL, ROUGE",ND,LALANDE-DE-POMEROL,ND,ND,ND,ND
9484A0,SCEA MAUPERTUIS,MAUPERTUIS,ROUGE,FRANCE,ND,ND,ND,ND,CHATEAU,ND,ND,ND,"CHATEAU MAUPERTUIS, BORDEAUX, ROUGE",ND,BORDEAUX,ND,ND,ND,ND
8513A0,SCEA CHATEAU ROLAND LA GARDE,SAINTE-LUCE BELLEVUE,BLANC,FRANCE,ND,ND,ND,ND,CHATEAU,ND,ND,ND,"CHATEAU SAINTE-LUCE BELLEVUE, LES AUBELINES, BLAYE COTES-DE-BORDEAUX, BLANC",LES AUBELINES,BLAYE COTES-DE-BORDEAUX,ND,ND,ND,ND
